sku,name,vendor,category,status,description,material,color,price,currency,lead_time,country_of_origin,image_url_1,image_url_2,image_url_3,source_url,created_at,updated_at
BRI COFFEE,Brisbane Coffee Table,Verellen,furniture,APPROVED,"The Brisbane Coffee Table is part of an architectural series where vertical and horizontal planes, voids and solids have a rhythmic and playful conversation.",solid hardwood,unique variations in color,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/B/R/BRI81040_brisbane48coffeetable_fumedash_Main_2.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI81040_brisbane48coffeetable_deadflatwalnut_G5_1.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI8105_brisbane60coffeetable_deadflatwalnut_G6_1.jpg,https://verellen.biz/brisbane-coffee-table-bri-coffee,2026-02-20T09:49:57.960709,2026-02-22T15:09:19.313845
BRI CONSOLE,Brisbane Console,Verellen,furniture,APPROVED,"The Brisbane Console is part of an architectural series where vertical and horizontal planes, voids and solids have a rhythmic and playful conversation.",solid hardwood,dead flat walnut,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/B/R/BRI83340_brisbane96console_deadflatwalnut_Main_3.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI83310_brisbane84consoletable_deadflatwalnut_Hover.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI8325_brisbane72consoletable_deadflatwalnut_G1_1.jpg,https://verellen.biz/brisbane-console-bri-console,2026-02-20T09:50:21.046373,2026-02-22T15:13:44.260343
BRI DESK,Brisbane Desk,Verellen,furniture,APPROVED,"The Brisbane Desk is part of an architectural series where vertical and horizontal planes, voids and solids have a rhythmic and playful conversation.",solid hardwood,dead flat walnut,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/B/R/BRI82371_brisbanelfdesk_deadflatwalnut_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI82370_brisbanerfdesk_deadflatwalnut_G1_1.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI82371_brisbanelfdesk_deadflatwalnut_G4_1.jpg,https://verellen.biz/brisbane-desk-bri-desk,2026-02-20T09:50:45.031519,2026-02-22T15:24:37.968087
BRI SIDE,Brisbane Side Table,Verellen,furniture,APPROVED,"An architectural side table where vertical and horizontal planes, voids and solids have a rhythmic and playful conversation. Available in Ash or Walnut, round or rectangle.",Ash or Walnut,,,,,North Carolina,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/B/R/BRI82191_brisbane35leftsidetable_deadflatwalnut_Main.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI82190_brisbane35rightsidetable_deadflatwalnut_G3_1.jpg,https:///magento.verellen.biz/media/catalog/product/B/R/BRI82190_brisbane35rightsidetable_deadflatwalnut_G4_1.jpg,https://verellen.biz/brisbane-side-table-bri-side,2026-02-20T09:51:07.631150,2026-02-22T15:29:09.943688
CHL BENCH,Charlie Bench,Verellen,furniture,APPROVED,"Meet the Charlie Bench, a sleek, modern piece with a plush, inviting seat and clean lines that make it perfect for adding a touch of contemporary fun and versatile seating to any room.",,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/H/CHL2050_charlie72bench_nobucktan_Main_1.jpg,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/H/CHL1050_charlie48bench_lightexotic_G1_1.jpg,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/H/CHL1050_charlie48bench_groveivory_G2_1.jpg,https://verellen.biz/charlie-bench-chl-bench,2026-02-20T09:51:30.385749,2026-02-22T15:39:42.250198
CHA 1000,Charlotte Chair,Verellen,furniture,APPROVED,Our classic piece that gains elegance and relevance with a new minimal base.,Solid hardwood,Harvest Linen Rust,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/H/CHA1000_charlottechair_harvestlinenrust_Main_1.jpg,https://magento.verellen.biz/media/wysiwyg/FabricsImage_II_1__1.jpg,https://magento.verellen.biz/media/wysiwyg/FinishesImage_II_1.jpg,https://verellen.biz/charlotte-chair-cha-1000,2026-02-20T09:51:53.238357,2026-02-22T16:35:45.525126
CHA 0512,Charlotte Swivel Club Chair,Verellen,furniture,APPROVED,"The Charlotte Swivel Club Chair is characterized by its classic armrest, minimal swivel base, and tight seat and back configuration.",,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/H/CHA0512_charlotteswivelclubchair_allureunitodesert_Main_2.jpg,https://magento.verellen.biz/media/wysiwyg/FabricsImage_II_1__1.jpg,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/A/CAM1000_camillechair_tumbledlinenflax_Main_2.jpg,https://verellen.biz/charlotte-swivel-club-chair-cha-0512,2026-02-20T09:52:15.079861,2026-02-22T16:35:12.843583
CLO CHAISE,Chloe Chaise,Verellen,furniture,APPROVED,"The Chloe Chaise carries the same playful curves and slightly angled arm as the sofa, offering a unique silhouette. With its plush, tight seat and back, this chaise combines bold, modern design with luxurious comfort, making it a perfect statement piece for lounging in style.",Fabric,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/L/CLO5012_chloerafchaise_doodlepanno_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/C/L/CLO5000_chloechaise_kenzostraw_G1.jpg,https:///magento.verellen.biz/media/catalog/product/C/L/CLO5013_chloelafchaise_doodlepanno_G2.jpg,https://verellen.biz/chloe-chaise-clo-chaise,2026-02-20T09:52:39.806882,2026-02-22T16:34:44.474275
COM 9010,Como Floor Lamp,Verellen,furniture,APPROVED,"A beautifully curved wooden base and a chic fabric shade, perfect for adding a touch of modern sophistication and warm ambiance to any room!","wooden base, fabric shade","natural variations in color, grain, and banding",,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/O/COM9010_comofloorlamp_deadflatwalnut_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/C/O/COM9010_comofloorlamp_fumedash_Hover_1.jpg,https:///magento.verellen.biz/media/catalog/product/C/O/COM9010_comofloorlamp_wengeash_G1_1.jpg,https://verellen.biz/como-floor-lamp-com-9010,2026-02-20T09:53:05.423577,2026-02-22T16:33:09.873042
COM 9020,Como Table Lamp,Verellen,furniture,APPROVED,"A beautifully curved wooden base and a chic fabric shade, perfect for adding a touch of modern sophistication and warm ambiance to any room!","wooden base, fabric shade","natural variations in color, grain, and banding",,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/O/COM9020_comotablelamp_walnutclearsatin_Main_1.jpg,https://magento.verellen.biz/media/wysiwyg/FinishesImage_II_1.jpg,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/B/E/BER9020_bergamotablelamp_deadflatwalnut_Main.jpg,https://verellen.biz/como-table-lamp-com-9020,2026-02-20T09:53:26.795650,2026-02-22T16:31:43.963395
COS 0500,Cosmo Club Chair,Verellen,furniture,APPROVED,"The Cosmo Chair features a modern, sculpted design with a generously supportive yet soft back and seat, all supported by a sleek, solid wooden frame.",solid wooden frame,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/O/COS0500_cosmoclubchair_braemarcamel_deadflatwalnut_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/C/O/COS0500_cosmoclubchair_braemarcamel_deadflatwalnut_G2_1.jpg,https:///magento.verellen.biz/media/catalog/product/C/O/COS0500_cosmoclubchair_braemarcamel_deadflatwalnut_G3_1.jpg,https://verellen.biz/cosmo-club-chair-cos-0500,2026-02-20T09:53:50.748163,2026-02-22T16:10:21.535261
COU 1022,Courtney Rocker,Verellen,furniture,APPROVED,"The Courtney Rocker features gracefully sloped arms, a supportive high back, and a loose seat cushion, all mounted on elegant wooden rockers.","Wood, Fabric",Unique variations due to natural characteristics,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/O/COU1022_courtneyrocker_berberlinennatural_Main_2.jpg,https:///magento.verellen.biz/media/catalog/product/C/O/COU1022_courtneyrocker_dodopebble_Hover_1.jpg,https://magento.verellen.biz/media/wysiwyg/FabricsImage_II_1__1.jpg,https://verellen.biz/courtney-rocker-cou-1022,2026-02-20T09:54:13.649071,2026-02-22T16:03:08.734532
VER-FUR-39E64376,Crew Bed,Verellen,furniture,APPROVED,"The Crew Bed is available in various sizes with options for low or tall headboards. It features a sturdy construction and is part of Verellen's curated collection. The bed is designed to offer both style and comfort, with a range of fabric options available for upholstery.",Fabric,Mephisto Tobacco,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/R/CRW7003_crewkingbed_mephisturtabacco_Main.jpg,https:///magento.verellen.biz/media/catalog/product/C/R/CRW7003_crewkingbed_mephisturtabacco_G2.jpg,https:///magento.verellen.biz/media/catalog/product/C/R/CRW7003_crewkingbed_mephisturtabacco_G3.jpg,https://verellen.biz/crew-bed-crw-bed,2026-02-20T09:54:37.066770,2026-02-22T15:22:24.044451
CRW SECT,Crew Sectional,Verellen,furniture,APPROVED,"The Crew Sectional extends an invitation to unwind, with modular pieces that wrap you in comfort. Thoughtfully designed with divided backs and soft, generous proportions, each configuration offers a relaxed elegance that adapts effortlessly to your space. From intimate corners to expansive lounges, Crew brings warmth, harmony, and effortless style to every setting.",,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/C/R/CRWSECT_crewlafxl_chaisehalf_fidatapebble_Main.jpg,https:///magento.verellen.biz/media/catalog/product/C/R/CRW5503_crewlafchaisehalf_kenzostraw_Hover.jpg,https:///magento.verellen.biz/media/catalog/product/C/R/CRW5002_crewrafchaise_kenzostraw_G1.jpg,https://verellen.biz/crew-sectional-crw-sect,2026-02-20T09:55:04.770830,2026-02-22T15:21:06.340957
VER-FUR-123CEAB6,Ella Bed,Verellen,furniture,APPROVED,Our Ella Bed stars elegantly in shape with tailored details and a grounded repetitive base.,Solid hardwood,Natural,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/E/L/ELL7003_ellakingbed_waleslinennatural_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/E/L/ELL7003_ellakingbed_berbernatural_Hover_1.jpg,https:///magento.verellen.biz/media/catalog/product/E/L/ELL7003_ellakingbed_berbernatural_G1_1.jpg,https://verellen.biz/ella-bed-ell-bed,2026-02-20T09:55:26.067102,2026-02-22T15:17:22.747657
ELL OTTO,Ella Ottoman,Verellen,furniture,APPROVED,"Our Ella Ottoman stars elegantly in shape, with tailored details.","Fabric, Leather, Solid Hardwood",Natural variations in color and markings due to leather and hardwood characteristics.,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/E/L/ELL0207_ella42otto_bhalukanatural_Main_2.jpg,https://magento.verellen.biz/media/catalog/product/E/L/ELL0207_ella42otto_salutstone_Hover.jpg,https://magento.verellen.biz/media/wysiwyg/FabricsImage_II_1__1.jpg,https://verellen.biz/ella-ottoman-ell-otto,2026-02-20T09:55:49.497294,2026-02-22T15:07:46.513274
VER-FUR-79702A0D,Ella Sectional,Verellen,furniture,APPROVED,"Our Ella Sectional stars elegantly in shape, with tailored details and a grounded repetitive base.",,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/E/L/ELLSECT_ellasectional_bhalukanatural_Main_2.jpg,https:///magento.verellen.biz/media/catalog/product/E/L/ELL2001_ellaarmlessstraightback_bembebisdesert_G4.jpg,https:///magento.verellen.biz/media/catalog/product/E/L/ELL2001_ellaarmlessstraightback_bembebisdesert_G5.jpg,https://verellen.biz/ella-sectional-ell-sect,2026-02-20T09:56:11.966716,2026-02-22T15:06:15.163256
ELL 1012,Ella Swivel Chair,Verellen,furniture,APPROVED,"Our Ella Swivel Chair stars elegantly in shape, with tailored details and a grounded repetitive base.",,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/E/L/ELL1012_ellaswivelchair_highlandsnatural_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/E/L/ELL1012_ellaswivelchair_revivalparchment_Hover.jpg,https://magento.verellen.biz/media/catalog/product/e/l/ellaswivelchair_revivalparchment_web_1.jpg,https://verellen.biz/ella-swivel-chair-ell-1012,2026-02-20T09:56:33.250860,2026-02-22T14:32:39.290766
11037415,Bliss,ZR,fabric,APPROVED,"The organically abstract allover design evokes a range of associations – shimmering water droplets, the veining of a rare gemstone, or the coat of a wildcat – fluid, layered, and naturally elegant. Varying pile heights capture the light and transform it into soft tonal gradations. The result is a surface that shimmers differently from every angle – sometimes with a silky glow, sometimes with gentle depth. Available in twelve colorways, from radiant and fresh to deep and sophisticated, BLISS reveals itself as a velvet of shimmering refinement – a fabric that captures the fleeting beauty of a moment.","Ground: 100% Cotton, Pile: 100% Viscose",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/c/d/csm_11037415_c9b368012c.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/9/d/csm_11037415_2_68258fe5f1.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/a/e/csm_11037415_3_153e93a1da.jpg,https://www.zimmer-rohde.com/en/product-finder/details/bliss-11037-415,2026-02-20T15:07:24.340492,2026-02-22T14:27:21.729082
11038664,Cedro,ZR,fabric,APPROVED,"This decorative upholstery fabric unfolds its character in a delicate balance of movement and calm. The marbled jacquard weave features a tone-on-tone pattern whose lines glide across the surface like flowing water. The interplay of voluminous bouclé yarn and a matte satin base creates a subtle relief structure that gently shapes the woven surface. Fine contour lines accentuate the moiré-like texture of the motif, bringing the visual relief clearly to life.","97% Polyester, 3% Acrylic",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/5/f/csm_11038664_d1eafbb9d4.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/c/e/csm_11038664_2_1ddb9b1242.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/4/4/csm_11038664_3_f2b3e6fc4c.jpg,https://www.zimmer-rohde.com/en/product-finder/details/cedro-11038-664,2026-02-20T15:07:31.219979,2026-02-22T14:27:07.505813
11039894,Loggia,ZR,fabric,APPROVED,"LOGGIA plays with the idea of woven structure – clean, graphic, yet naturally appealing. With its impressive depth and embossed relief effect, the surface recalls handcrafted raffia weaving. The material demonstrates how effortlessly function and style can come together: easy to maintain, lightfast, and washable, while exuding cool elegance and tactile presence. Whether in a subtly designed salon interior or an airy spa environment, LOGGIA fits seamlessly into a wide range of settings thanks to its excellent care and performance properties. The woven look feels both modern and timeless – an upholstery fabric with architectural character that gracefully blurs the boundaries between indoors and out.","80% Polyvinyl chloride, 20% Polyester",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/9/4/csm_11039894_8fbc309f42.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/4/0/csm_11039894_2_9c405331bd.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/b/6/csm_11039894_3_9f23602bd4.jpg,https://www.zimmer-rohde.com/en/product-finder/details/loggia-11039-894,2026-02-20T15:07:40.101399,2026-02-22T14:26:50.932079
11040884,Rythm Delight,ZR,fabric,APPROVED,"Rythm Delight is an upholstery fabric that captivates with its fascinating interplay of sheen and texture. On an elegant satin ground unfolds a delicate allover texture of matte bouclé yarn, giving the fabric depth and vibrancy. The jacquard pattern appears almost like a relief – subtle yet expressive – creating a harmonious tension between lustrous elegance and soft matte finish. Whether on a single chair or expansive upholstered surfaces, the fabric transforms every piece into a stylish statement. RYTHM DELIGHT plays charmingly with light and shadow, lending interiors a refined, distinctive presence that feels both understated and remarkable.","50% Cotton, 22% Fleece wool, 18% Polyamide, 10% Polyester",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/e/3/csm_11040884_1d6b7af5bc.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/a/a/csm_11040884_2_344eba9667.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/9/7/csm_11040884_3_6874afb2f6.jpg,https://www.zimmer-rohde.com/en/product-finder/details/rythm-delight-11040-884,2026-02-20T15:07:47.629987,2026-02-22T14:26:36.382243
11041991,Infinity Tweed,ZR,fabric,APPROVED,"This upholstery fabric combines the grace of traditional craftsmanship with contemporary functionality. The multicolored structured flat weave evokes a lively tweed, enhanced by subtle bouclé accents that lend the surface a slightly irregular, organic texture. Coarse and fine yarns create a harmonious play of color, giving each piece of furniture its own distinctive character. Beneath its natural appearance lies a sophisticated high-tech composition: easy to care for, durable, and pleasantly soft to the touch, this fabric perfectly balances aesthetics and everyday practicality. Whether used to upholster chairs, sofas, or casual cushion arrangements, the fabric conveys the warmth of handcrafted materials while meeting modern standards. INFINITY TWEED is produced in Germany in a climate-neutral process using European-sourced yarns.","62% Acrylic, 35% Polyester (recycled), 3% Polyester",,,,,Germany,https://www.zimmer-rohde.com/fileadmin/_processed_/f/9/csm_11041991_f872aed81c.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/6/1/csm_11041991_2_23c3554b21.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/7/f/csm_11041991_3_d166a3c146.jpg,https://www.zimmer-rohde.com/en/product-finder/details/infinity-tweed-11041-991,2026-02-20T15:07:52.623387,2026-02-22T14:26:22.340497
11042886,Infinity Raya,ZR,fabric,APPROVED,"Infinity Raya is a contemporary interpretation of the classic stripe motif. Velour ribs with a fine high-low effect lend the surface of this upholstery fabric a three-dimensional depth, its contours accentuated by delicate, color-contrasting lines. The fabric combines comfort, easy care, and durability, offering excellent functional properties. It is washable, easy to clean, features outstanding lightfastness, and is suitable for allergy sufferers. Produced in Germany using European-sourced yarns, it is part of the INFINITY product family.","Ground: 84% Polyester, 16% Acrylic; Pile: 100% Acrylic",,,,,Germany,https://www.zimmer-rohde.com/fileadmin/_processed_/5/1/csm_11042886_35f717707e.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/e/6/csm_11042886_2_cc12a0f96e.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/f/3/csm_11042886_3_c1425a79a9.jpg,https://www.zimmer-rohde.com/en/product-finder/details/infinity-raya-11042-886,2026-02-20T15:08:00.518248,2026-02-22T14:26:08.162035
11043884,Bamboo,ZR,fabric,APPROVED,"Generous block stripes rest like artfully strung pearl bands upon a densely woven satin warp. The brocade-woven stripe motifs capture the light, creating a decorative interplay of matte and sheen. The fabric’s sumptuous, fluid drape lends this extravagant decorative textile a sense of luxurious opulence that enriches windows and interiors with atmosphere and depth. Whether used as a curtain, room divider, or wall covering, BAMBOO unites refined textile tradition with a feeling of modern luxury.","45% Viscose, 25% Cotton, 17% Polyester, 13% Flax (linen)",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/1/3/csm_11043884_460448a63c.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/6/5/csm_11043884_2_31ed94f41c.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/3/1/csm_11043884_3_7fe48f922b.jpg,https://www.zimmer-rohde.com/en/product-finder/details/bamboo-11043-884,2026-02-20T15:08:06.059377,2026-02-22T14:25:48.310531
11044173,Lucky Charm,ZR,fabric,APPROVED,"Inspired by the tranquility and beauty of Asian water landscapes, Lucky Charm features cranes, symbols of happiness and longevity in Asian culture, gliding gracefully through a freshly blossoming spring scene. Flowers and leaves glow in the clear light that follows a refreshing rain shower. Crafted in the finest jacquard technique, the expansive design reveals its charm through intricate detail and luminous, refined coloration.","49% Polyester, 39% Cotton, 12% Silk",173,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/d/2/csm_11044173_120807ced4.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/3/7/csm_11044173_2_5d5a884ba8.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/6/2/csm_11044173_3_109b604453.jpg,https://www.zimmer-rohde.com/en/product-finder/details/lucky-charm-11044-173,2026-02-20T15:08:12.484152,2026-02-22T14:25:31.737575
